ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
545;Nuclear forensics: searching for nuclear device debris in trinitite-hosted inclusions;Jul;2012;Bellucci, JJ and Simonetti, A;JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY;30;15
546;Conflict on the urban fringe: Urbanization, environmental stress, and urban unrest in Africa;Apr;2021;"Gizelis, TI; Pickering, S and Urdal, H";POLITICAL GEOGRAPHY;-;87
547;Assessment of Suitability of Tree Species for Bioenergy Production on Burned and Degraded Peatlands in Central Kalimantan, Indonesia;Dec;2018;"Maimunah, S; Rahman, SA; (...); Baral, H";LAND;10;53
548;Thermochemistry of Barium Hollandites;May;2013;"Costa, GCC; Xu, HW and Navrotsky, A";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;25;45
549;Experimental observation of frequency up-conversion by flash ionization;oct-15;2012;"Nishida, A; Yugami, N; (...); Kodama, R";APPLIED PHYSICS LETTERS;20;19
550;Reduced transition strengths of low-lying yrast states in chromium isotopes in the vicinity of N=40;sept-08;2015;"Braunroth, T; Dewald, A; (...); Wimmer, K";PHYSICAL REVIEW C;16;68
551;Electrochemical oxidation of trace organic contaminants in reverse osmosis concentrate using RuO2/IrO2-coated titanium anodes;Feb;2011;"Radjenouic, J; Bagastyo, A; (...); Rabaey, K";WATER RESEARCH;96;32
552;A detailed geochemical investigation of post-nuclear detonation trinitite glass at high spatial resolution: Delineating anthropogenic vs. natural components;feb-04;2014;"Bellucci, JJ; Simonetti, A; (...); Burns, PC";CHEMICAL GEOLOGY;28;26
553;Limitations of Climatic Data for Inferring Species Boundaries: Insights from Speckled Rattlesnakes;jun-24;2015;"Meik, JM; Streicher, JW; (...); Fujita, MK";PLOS ONE;25;61
554;Shape memory alloy tufted composites combining high delamination resistant and crack closure properties;Aug;2021;"Ciampa, F; Ladani, R; (...); Mouritz, AP";COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING;1;59
555;Bioremediation of Dichlorodiphenyltrichloroethane (DDT)-Contaminated Agricultural Soils: Potential of Two Autochthonous Saprotrophic Fungal Strains;Nov;2019;"Russo, F; Ceci, A; (...); Persiani, AM";APPLIED AND ENVIRONMENTAL MICROBIOLOGY;9;110
556;Zirconium metal recovery from irradiated radioactive zirconium alloy via chloride-based electrorefining and thermal decomposition of ZrCl;Apr;2022;"Hur, J; Jeon, Y; (...); Park, J";INTERNATIONAL JOURNAL OF ENERGY RESEARCH;-;29
557;Effects of supplemental irrigation with micro-sprinkling hoses on water distribution in soil and grain yield of winter wheat;May;2014;"Man, JG; Yu, JS; (...); Wang, D";FIELD CROPS RESEARCH;28;50
558;Subsurface impurities and vacancies in a three-dimensional topological insulator;sept-20;2012;Black-Schaffer, AM and Balatsky, AV;PHYSICAL REVIEW B;43;19
559;Impact of Defects in Powder Feedstock Materials on Microstructure of 304L and 316L Stainless Steel Produced by Additive Manufacturing;Aug;2018;"Morrow, BM; Lienert, TJ; (...); Gray, GT";METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;33;29
560;A New Model for Electron-capture Supernovae in Galactic Chemical Evolution;sept-10;2019;"Jones, S; Cote, B; (...); Wanajo, S";ASTROPHYSICAL JOURNAL;11;45
561;Business Power in post-authoritarian Chile: explaining regulatory continuity in the pension system, 1990-1994;Sep;2020;Schiappacasse, I;REVISTA ESPANOLA DE SOCIOLOGIA;-;75
562;Probing Local Dipoles and Ligand Structure in BaTiO3 Nanoparticles;Aug10;2010;"Page, K; Proffen, T; (...); Seshadri, R";CHEMISTRY OF MATERIALS;81;46
563;Thermomechanical behavior and microstructural evolution of a Ni(Pd)-rich Ni24.3Ti49.7Pd26 high temperature shape memory alloy;sept-15;2015;"Benafan, O; Garg, A; (...); Vogel, SC";JOURNAL OF ALLOYS AND COMPOUNDS;12;89
564;The atomic structure of lead-free Ba(Zr0.2Ti0.8)O-3-(Ba0.7Ca0.3)TiO3 by using neutron total scattering analysis;Dec10;2012;Jeong, IK and Ahn, JS;APPLIED PHYSICS LETTERS;27;37
565;Valence Variations by B-Site Doping in A-Site Columnar-Ordered Quadruple Perovskites Sm2MnMn(Mn4-xTix)O-12 with 1 <= x <= 3;mar-04;2019;"Belik, AA; Zhang, L; (...); Yamaura, K";INORGANIC CHEMISTRY;7;37
566;A GIS-based tool for an integrated assessment of spatial planning trade-offs with aquaculture;jun-15;2018;"Gimpel, A; Stelzenmuller, V; (...); Watret, R";SCIENCE OF THE TOTAL ENVIRONMENT;47;54
567;Stabilisation of Fe2O3-rich Perovskite Nanophase in Epitaxial Rare-earth Doped BiFeO3 Films;Aug14;2015;"Zhang, HR; Reaney, IM; (...); Rainforth, WM";SCIENTIFIC REPORTS;7;28
568;Forensic Psychiatric Patients with Comorbid Psychopathy: Double Trouble?;Aug14;2017;"Jeandarme, I; Pouls, C; (...); Bogaerts, S";INTERNATIONAL JOURNAL OF FORENSIC MENTAL HEALTH;8;64
569;Modeling and characterization of cohesion in fine metal powders with a focus on additive manufacturing process simulations;feb-01;2019;"Meier, C; Weissbach, R; (...); Hart, AJ";POWDER TECHNOLOGY;50;86
570;Mechanisms to locate noncooperative transmitters in wireless networks based on residual signal strengths;Nov;2014;Barthelemy, E and Robert, JM;SECURITY AND COMMUNICATION NETWORKS;-;24
571;Cyclic Loading Biomechanical Analysis of the Pullout Strengths of Rotator Cuff and Glenoid Anchors: 2013 Update;May;2013;Barber, FA and Herbert, MA;ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY;83;36
572;High Temperature Deformation Mechanism in Hierarchical and Single Precipitate Strengthened Ferritic Alloys by In Situ Neutron Diffraction Studies;Apr7;2017;"Song, G; Sun, ZQ; (...); Liaw, PK";SCIENTIFIC REPORTS;18;51
573;Diffusional Side-Channel Leakage From Unrolled Lightweight Block Ciphers: A Case Study of Power Analysis on PRINCE;Apr7;2021;"Yli-Mayry, V; Ueno, R; (...); Homma, N";IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;1;32
574;Local-structure origins of the sustained Curie temperature in (Ba,Ca)TiO3 ferroelectrics;Apr22;2013;"Levin, I; Krayzman, V and Woicik, JC";APPLIED PHYSICS LETTERS;70;24
575;Which nuclear data can be validated with LLNL pulsed-sphere experiments?;sept-01;2021;"Neudecker, D; Cabellos, O; (...); Rising, ME";ANNALS OF NUCLEAR ENERGY;3;51
576;Impact of hydrostatic pressure on the crystal structure and photoluminescence properties of Mn4+-doped BaTiF6 red phosphor;sept-01;2015;"Wang, YG; Wen, T; (...); Zhao, YS";DALTON TRANSACTIONS;35;49
577;THE METHODS OF DIGITAL FORECASTING OF INMATE MISCONDUCT IN PENAL INSTITUTIONS;sept-01;2019;"Kaluzhina, MA; Makarenko, TD; (...); Vedernikova, TI";RUSSIAN JOURNAL OF CRIMINOLOGY;1;24
578;Smart hybrid SDN approach for MPLS VPN management on digital environment;Feb;2020;"Bahnasse, A; Talea, M; (...); Laafar, S";TELECOMMUNICATION SYSTEMS;4;38
579;What does an enabling environment for infant and young child nutrition look like at implementation level? Perspectives from a multi-stakeholder process in the Breede Valley Sub-District, Western Cape, South Africa;feb-13;2018;"Du Plessis, LM; McLachlan, MH and Drimie, SE";BMC PUBLIC HEALTH;2;21
580;Amazonian Dark Earths in Rondonia State: Soil properties, carbon dating and classification;feb-13;2021;"Cavassani, RD; dos Anjos, LHC; (...); Garcia, AC";REVISTA BRASILEIRA DE CIENCIA DO SOLO;1;76
581;Chemical and Sr isotopic characterization of North America uranium ores: Nuclear forensic applications;Nov;2016;"Balboni, E; Jones, N; (...); Burns, PC";APPLIED GEOCHEMISTRY;28;37
582;Evaluating non-market costs of ICT involving data transmission in smart cities;oct-03;2021;Yang, WJ and Lam, PTI;BUILDING RESEARCH AND INFORMATION;1;56
583;Theoretical Investigation on the Adsorption and Interface Bonding between N-Heterocyclic Carbenes and Metal Surfaces;mar-04;2021;"Deng, CF; Chen, J and Tang, Q";JOURNAL OF PHYSICAL CHEMISTRY C;5;47
584;Design, implementation, and testing of a cryogenic loading capability on an engineering neutron diffractometer;Jun;2010;"Woodruff, TR; Krishnan, VB; (...); Vaidyanathan, R";REVIEW OF SCIENTIFIC INSTRUMENTS;4;10
585;Chemical tuning of electrical transport in Ti1-xPtxSe2-y;Jan20;2015;"Chen, JS; Wang, JKK; (...); Morosan, E";PHYSICAL REVIEW B;8;44
586;Quantifying the effect of investors' attention on stock market;may-23;2017;"Yang, ZH; Liu, JG; (...); Han, JT";PLOS ONE;9;67
587;Private Uplink Communication in C-RAN With Untrusted Radios;Jul;2020;"Taghizadeh, O; Yang, TY and Mathar, R";IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY;3;22
588;Determination of Hafnium Zirconium Oxide Interfacial Band Alignments Using Internal Photoemission Spectroscopy and X-ray Photoelectron Spectroscopy;mar-31;2021;"Jenkins, MA; Holden, KEK; (...); Conley, JF";ACS APPLIED MATERIALS & INTERFACES;1;49
589;Assessing the reactivity of TiCl3 and TiF3 with hydrogen;Aug2;2018;"Kang, S; Klebanoff, LE; (...); Wood, BC";INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;6;58
590;Experimental and calculational investigation of laser-heated additive manufactured foams;Feb;2021;"Jones, OS; Kemp, GE; (...); Wilks, SC";PHYSICS OF PLASMAS;1;50
591;Sandia Fracture Challenge 3: detailing the Sandia Team Q failure prediction strategy;Jul;2019;"Karlson, KN; Alleman, C; (...); Veilleux, MG";INTERNATIONAL JOURNAL OF FRACTURE;5;32
592;Health and well-being in small island communities: a cross-sectional study in the Solomon Islands;Nov;2021;"Furusawa, T; Pitakaka, F; (...); Ishida, T";BMJ OPEN;-;31
593;A tabletop, ultrashort pulse photoneutron source driven by electrons from laser wakefield acceleration;Nov;2017;"Jiao, XJ; Shaw, JM; (...); Hegelich, BM";MATTER AND RADIATION AT EXTREMES;10;35
594;Critical influences of particle size and adhesion on the powder layer uniformity in metal additive manufacturing;Apr;2019;"Meier, C; Weissbach, R; (...); Hart, AJ";JOURNAL OF MATERIALS PROCESSING TECHNOLOGY;84;48
595;Temperature-Dependent Crystal Structures of Ti2AlN and Cr2GeC as Determined from High Temperature Neutron Diffraction;Oct;2011;"Lane, NJ; Vogel, SC and Barsoum, MW";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;20;35
596;Density functional theory study of the point defect energetics in gamma-LiAlO2, Li2ZrO3 and Li2TiO3 materials;Dec1;2018;"Lee, YL; Holber, J; (...); Duan, YH";JOURNAL OF NUCLEAR MATERIALS;12;66
597;Evolution of damage and failure in an additively manufactured 316L SS structure: experimental reinvestigation of the third Sandia fracture challenge;Jul;2019;"Kramer, SLB; Ivanoff, TA; (...); Lentfer, AP";INTERNATIONAL JOURNAL OF FRACTURE;6;14
598;The mobility of Nb in rutile-saturated NaCl- and NaF-bearing aqueous fluids from 1-6.5 GPa and 300-800 degrees C;Jul;2015;"Tanis, EA; Simon, A; (...); Zhao, YS";AMERICAN MINERALOGIST;22;62
599;Fear of panoptic surveillance: using digital technology to control the COVID-19 epidemic;nov-25;2020;Keshet, Y;ISRAEL JOURNAL OF HEALTH POLICY RESEARCH;4;23
600;X-Ray Fluorescence Spectroscopy Combined With BP Neural Network to Identify Imported Copper Concentrate Origin;Sep;2020;"Liu, Q; Qin, YQ; (...); Xing, YJ";SPECTROSCOPY AND SPECTRAL ANALYSIS;-;13
601;Functional Analysis of the Modern Civil Society through the Lens of Welfare State;Sep;2019;"Au, TI; Veselskaya, NR; (...); Akhmetova, KS";JOURNAL OF POLITICS AND LAW;-;29
602;High-Pressure Synthesis, Crystal Structures, and Properties of A-Site Columnar-Ordered Quadruple Perovskites NaRMn2Ti4O12 with R = Sm, Eu, Gd, Dy, Ho, Y;jul-06;2020;"Liu, R; Scatena, R; (...); Belik, AA";INORGANIC CHEMISTRY;3;39
603;Analysis of the simultaneous measurements of iron K- and L-shell radiation from ultrashort laser produced plasmas;mar-28;2011;"Ouart, ND; Safronova, AS; (...); Villoresi, P";JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS;5;25
604;Characterization of Photo-Induced Charge Transfer and Hot Carrier Relaxation Pathways in Spinel Cobalt Oxide (Co3O4);oct-02;2014;"Jiang, CM; Baker, LR; (...); Leone, SR";JOURNAL OF PHYSICAL CHEMISTRY C;63;60
605;High-Precision Temperature-Controllable Metal-Coated Polymeric Molds for Programmable, Hierarchical Patterning;oct-12;2017;"Kim, KS; Kim, JU; (...); Kim, TI";ADVANCED FUNCTIONAL MATERIALS;4;28
606;Adaptive fuzzy sliding control enhanced by compensation for explicitly unidentified aspects;Dec;2017;"Nguyen, SD; Choi, SB and Seo, TI";INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS;10;37
607;Excitation density, diffusion-drift, and proportionality in scintillators;Feb;2011;"Williams, RT; Grim, JQ; (...); Moses, WW";PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS;75;27
608;Learning deep features for source color laser printer identification based on cascaded learning;nov-06;2019;"Kim, DG; Hou, JU and Lee, HK";NEUROCOMPUTING;7;24
609;Low-energy structure of Co-66(27)39 and Co-68(27)41 populated through beta decay;Jan30;2012;"Liddick, SN; Abromeit, B; (...); Suchyta, S";PHYSICAL REVIEW C;27;41
610;Neutron diffraction measurements and first-principles study of thermal motion of atoms in select M(n+1)AX(n) and binary MX transition-metal carbide phases;Dec3;2012;"Lane, NJ; Vogel, SC; (...); Barsoum, MW";PHYSICAL REVIEW B;30;36
611;Short-term LMP forecasting using an artificial neural network incorporating empirical mode decomposition;Sep;2015;"Hong, YY; Liu, CY; (...); Yu, TH";INTERNATIONAL TRANSACTIONS ON ELECTRICAL ENERGY SYSTEMS;12;22
612;Inhibitory Effects of Linear Lipopeptides From a Marine Bacillus subtilis on the Wheat Blast Fungus Magnaporthe oryzae Triticum;Apr30;2020;"Chakraborty, M; Mahmud, NU; (...); Islam, T";FRONTIERS IN MICROBIOLOGY;17;68
613;Edge and identity preserving network for face super-resolution;jul-25;2021;"Kim, J; Li, G; (...); Kim, J";NEUROCOMPUTING;6;41
614;The second Sandia Fracture Challenge: predictions of ductile failure under quasi-static and moderate-rate dynamic loading;Mar;2016;"Boyce, BL; Kramer, SLB; (...); Xue, L";INTERNATIONAL JOURNAL OF FRACTURE;57;68
615;Panguite, (Ti4+,Sc,Al,Mg,Zr,Ca)(1.8)O-3, a new ultra-refractory titania mineral from the Allende meteorite: Synchrotron micro-diffraction and EBSD;Jul;2012;"Ma, C; Tschauner, O; (...); Liu, WJ";AMERICAN MINERALOGIST;23;49
616;Optimizing water use efficiency and economic return of super high yield spring maize under drip irrigation and plastic mulching in arid areas of China;Sep;2017;"Zhang, GQ; Liu, CW; (...); Li, SK";FIELD CROPS RESEARCH;68;65
617;Dietary iron intakes based on food composition data may underestimate the contribution of potentially exchangeable contaminant iron from soil;Jun;2015;"Gibson, RS; Wawer, AA; (...); Siyame, EWP";JOURNAL OF FOOD COMPOSITION AND ANALYSIS;18;17
618;A Two-Stage MCDM Model for Exploring the Influential Relationships of Sustainable Sports Tourism Criteria in Taichung City;Apr;2020;"Yang, JJ; Chuang, YC; (...); Lee, TI";INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;19;32
619;Impact of coronavirus pandemic on the Indian education sector: perspectives of teachers on online teaching and assessments;sept-22;2021;"Joshi, A; Vinay, M and Bhaskar, P";INTERACTIVE TECHNOLOGY AND SMART EDUCATION;36;51
620;Development strategy of green energy industry for Taipei-A modern medium-sized city;Nov;2013;"Lu, SM; Huang, MY; (...); Chen, FL";ENERGY POLICY;17;13
621;Covalency in Lanthanides. An X-ray Absorption Spectroscopy and Density Functional Theory Study of LnCl(6)(x-) (x=3, 2);feb-25;2015;"Loble, MW; Keith, JM; (...); Zehnder, RA";JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;135;164
622;Sniffing Entrapped Humans with Sensor Arrays;Apr17;2018;"Guntner, AT; Pineau, NJ; (...); Pratsinis, SE";ANALYTICAL CHEMISTRY;67;32
623;Establishment of a quadruplex real-time PCR assay to distinguish the fungal pathogens Diaporthe longicolla, D. caulivora, D. eres, and D. novem on soybean;Apr17;2021;"Hosseini, B; Voegele, RT and Link, TI";PLOS ONE;-;27
624;Selective Laser Melting Additive Manufacturing of Hard-to-Process Tungsten-Based Alloy Parts With Novel Crystalline Growth Morphology and Enhanced Performance;Aug;2016;"Gu, DD; Dai, DH; (...); Chen, HY";JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME;17;42
625;Smart Hybrid SDN Approach for MPLS VPN Management and Adaptive Multipath Optimal Routing;Sep;2020;"Bahnasse, A; Louhab, FE; (...); Pandey, B";WIRELESS PERSONAL COMMUNICATIONS;-;34
626;Swift-heavy ion irradiation response and annealing behavior of A(2)TiO(5) (A = Nd, Gd, and Yb);Feb;2018;"Park, S; Tracy, CL; (...); Ewing, RC";JOURNAL OF SOLID STATE CHEMISTRY;6;63
627;Predicting Mesoscale Microstructural Evolution in Electron Beam Welding;May;2016;"Rodgers, TM; Madison, JD; (...); Maguire, MC";JOM;36;38
628;Evaluating the use of seaweed extracts against root knot nematodes: A meta-analytic approach;Dec;2021;"Williams, TI; Edgington, S; (...); Gange, AC";APPLIED SOIL ECOLOGY;1;54
629;Implementation of continuous-variable quantum key distribution with discrete modulation;jun-01;2017;"Hirano, T; Ichikawa, T; (...); Tsurumaru, T";QUANTUM SCIENCE AND TECHNOLOGY;27;40
630;Analysis of potential fuel savings, economic and environmental effects of improved biomass cookstoves in rural Ethiopia;Jan20;2021;Wassie, YT and Adaramola, MS;JOURNAL OF CLEANER PRODUCTION;2;54
631;.OMPLEMENTARY MECHANISM OF STATE REGULATION OF SOCIO-ECONOMIC PROTECTION OF AGRICULTURAL BUSINESS;Jan20;2017;"Yatsiv, IB; Batrakova, TI and Karabanov, AV";SCIENTIFIC BULLETIN OF POLISSIA;-;6
632;Molecular dynamics studies of irradiation effects on hydrogen isotope diffusion through nickel crystals and grain boundaries;Jan7;2018;"Zhou, XW; Dingreville, R and Karnesky, RA";PHYSICAL CHEMISTRY CHEMICAL PHYSICS;13;26
633;First principle study of reversible hydrogen storage in Sc grafted Calix[4]arene and Octamethylcalix[4] arene;feb-22;2019;"Kumar, S; Sathe, RY and Kumar, TJD";INTERNATIONAL JOURNAL OF HYDROGEN ENERGY;9;67
634;Omniphobic membrane with nest-like re-entrant structure via electrospraying strategy for robust membrane distillation;Dec15;2021;"Zhang, W; Wang, Z and Li, BA";JOURNAL OF MEMBRANE SCIENCE;3;63
635;Trace element partitioning during coal preparation: Insights from US Illinois Basin coals;jul-01;2021;"Kolker, A; Scott, C; (...); Scott, A";INTERNATIONAL JOURNAL OF COAL GEOLOGY;3;85
636;Electrochemical Response of Ferroelectric PbZr0.52Ti0.48O3 Thin Films;jul-01;2012;"Small, L; Apblett, C; (...); Duquette, DJ";JOURNAL OF THE ELECTROCHEMICAL SOCIETY;2;38
637;Structure and Corrosion Behaviours of Mo Modified Titanium in Saliva;Aug;2010;"Yao, XH; Tang, B; (...); Qin, L";JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION;3;10
638;"ANALYSIS OF CHARACTERISTICS AND POSSIBILITIES OF HIGH-VOLTAGE ELECTRICAL ENGINEERING COMPLEX SCIENTIFIC-&-RESEARCH PLANNING-&-DESIGN INSTITUTE ""MOLNIYA"" OF NTU ""KHPI"" FOR THE TESTS OF OBJECTS OF ENERGY, ARMAMENT, AVIATION AND SPACE-ROCKET TECHNIQUE ON ELECTRIC SAFETY AND ELECTROMAGNETIC COMPATIBILITY";Aug;2020;"Baranov, MI; Buriakovskyi, SG; (...); Rudenko, SS";ELECTRICAL ENGINEERING & ELECTROMECHANICS;1;37
639;Facilitators and Barriers to Healthy Eating Among American Indian and Alaska Native Adults with Type 2 Diabetes: Stakeholder Perspectives;Jun;2021;"Stotz, SA; Brega, AG; (...); Moore, KR";CURRENT DEVELOPMENTS IN NUTRITION;1;79
640;Fatigue behavior and modeling for additive manufactured 304L stainless steel: The effect of surface roughness;Dec;2020;"Lee, S; Pegues, JW and Shamsaei, N";INTERNATIONAL JOURNAL OF FATIGUE;25;54
641;In Situ Neutron Diffraction Study of the Influence of Microstructure on the Mechanical Response of Additively Manufactured 304L Stainless Steel;Dec;2017;"Brown, DW; Adams, DP; (...); Vogel, SC";METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;33;49
642;Life cycle and psycho-social characteristics of unemployed adults;May-jun;2012;Rus, TI;SALUD MENTAL;1;43
643;Influence of an Insulator Layer on the Charge Transport in a Metal/Insulator/n-AlGaN Structure;mar-20;2019;"Shao, H; Che, JM; (...); Zhang, ZH";PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE;4;24
644;AN EFFICIENT, AFFORDABLE OPTICALLY STIMULATED LUMINESCENT (OSL) ANNEALER;Jul;2017;"Abraham, SA; Frank, SJ and Kearfott, KJ";HEALTH PHYSICS;4;27
645;The Association of Gender to Cardiovascular Outcomes After Coronary Artery Revascularization in Patients With End-Stage Renal Disease;Sep;2014;"Krishnaswami, A; Chang, TI; (...); Go, AS";CLINICAL CARDIOLOGY;2;21
646;Investigation of geophysical challenges in land seismic data acquisition in Nigeria: case study of parts of the Niger Delta region;Feb;2021;"Onwubuariri, CN; Al-Naimi, LS; (...); Nnanna, LA";JOURNAL OF PETROLEUM EXPLORATION AND PRODUCTION;-;9
647;Dynamics of pore formation during laser powder bed fusion additive manufacturing;Apr30;2019;"Martin, AA; Calta, NP; (...); Matthews, MJ";NATURE COMMUNICATIONS;212;48
648;First-principles study of thermophysical properties of interaction layer products in U-Mo/Al dispersion fuel;Jan;2019;Mei, ZG and Yacout, AM;JOURNAL OF NUCLEAR MATERIALS;1;30
649;An analysis of phase stresses in additively manufactured 304L stainless steel using neutron diffraction measurements and crystal plasticity finite element simulations;Oct;2019;"Pokharel, R; Patra, A; (...); Gray, GT";INTERNATIONAL JOURNAL OF PLASTICITY;29;66
650;Quantification of Various Factors Influencing the Precision of Thermoluminescent Detector Calibrations for New and Used Chip Sets;May;2011;"Harvey, JA; Thomas, EM and Kearfott, KJ";HEALTH PHYSICS;16;20
651;Cross-sections for (p,x) reactions on natural chromium for the production of Mn-52,Mn-52m,Mn-54 radioisotopes;Feb;2015;"Wooten, AL; Lewis, BC and Lapi, SE";APPLIED RADIATION AND ISOTOPES;28;42
652;Situation analysis for delivering integrated comprehensive sexual and reproductive health services for displaced population of Kasai, Democratic Republic of Congo: Protocol for a mixed method study;Dec21;2020;"Emina, JBO; Gahungu, P; (...); Kobeissi, L";PLOS ONE;-;8
653;Multiplex biosensing with highly sensitive magnetic nanoparticle quantification method;Aug1;2018;"Nikitin, MP; Orlov, AV; (...); Nikitin, PI";JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS;43;42
654;Complementarities between Labour Market Institutions and their Causal Impact on Youth Labour Market Outcomes;Jul;2020;O'Higgins, N and Pica, G;B E JOURNAL OF ECONOMIC ANALYSIS & POLICY;-;40
655;Inventive Activity of Researchers: Cross-Country Rating Assessments;Jul;2017;Volkova, TI and Usoltsev, IA;EKONOMIKA REGIONA-ECONOMY OF REGION;1;36
656;Quantitative and high spatial resolution d(33) measurement of piezoelectric bulk and thin films;nov-07;2015;"Shetty, S; Yang, JI; (...); Trolier-McKinstry, S";JOURNAL OF APPLIED PHYSICS;10;58
657;Social learning in smallholder agriculture: the struggle against systemic inequalities;nov-07;2018;"Leta, G; Stellmacher, T; (...); Hornidge, AK";JOURNAL OF WORKPLACE LEARNING;6;62
658;Computational Design of Gradient Paths in Additively Manufactured Functionally Graded Materials;Nov;2018;"Kirk, T; Galvan, E; (...); Arroyave, R";JOURNAL OF MECHANICAL DESIGN;16;35
659;Two Agrobacterium tumefaciens CheW Proteins Are Incorporated into One Chemosensory Pathway with Different Efficiencies;Apr;2018;"Huang, ZW; Zhou, QX; (...); Guo, ML";MOLECULAR PLANT-MICROBE INTERACTIONS;9;87
660;The Management of Municipal Waste through Circular Economy in the Context of Smart Cities Development;Apr;2019;"Aceleanu, MI; Serban, AC; (...); Bitoiu, TI";IEEE ACCESS;9;53
661;Energetic Cavitation Collapse Generates 3.2 Mbar Plasma with a 1.4 J Driver;Apr10;2013;Ramsey, MC and Pitz, RW;PHYSICAL REVIEW LETTERS;13;40
662;DESIGN OF INTERROGATION PROTOCOLS FOR RADIATION DOSE MEASUREMENTS USING OPTICALLY-STIMULATED LUMINESCENT DOSIMETERS;Mar;2017;"Abraham, SA; Kearfott, KJ; (...); Tan, YL";HEALTH PHYSICS;5;24
663;Interdiffusion and Reaction Between Al and Zr in the Temperature Range of 425 to 475 degrees C;Aug;2019;"Mehta, A; Dickson, J; (...); Sohn, Y";JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION;8;47
664;Extreme-Value Statistics Reveal Rare Failure-Critical Defects in Additive Manufacturing;Aug;2017;"Boyce, BL; Salzbrenner, BC; (...); Shen, YL";ADVANCED ENGINEERING MATERIALS;46;52
665;Data centers as the backbone of smart cities: principal considerations for the study of facility costs and benefits;Jan11;2021;"Lam, PTI; Lai, D; (...); Yang, WJ";FACILITIES;-;34
666;Collections of Mungbean [Vigna radiata) (L.) R. Wilczek] and urdbean [V. mungo (L.) Hepper] in Vavilov Institute (VIR): traits diversity and trends in the breeding process over the last 100 years;Apr;2019;"Burlyaeva, M; Vishnyakova, M; (...); von Wettberg, E";GENETIC RESOURCES AND CROP EVOLUTION;4;37
667;Nuclear shape isomers;Mar;2012;"Moller, P; Sierk, AJ; (...); Ichikawa, T";ATOMIC DATA AND NUCLEAR DATA TABLES;46;29
668;Corrosion properties of 304L stainless steel made by directed energy deposition additive manufacturing;may-15;2019;"Melia, MA; Nguyen, HDA; (...); Schindelholz, EJ";CORROSION SCIENCE;40;51
669;RECONCILED TOP-DOWN AND BOTTOM-UP HIERARCHICAL MULTISCALE CALIBRATION OF BCC FE CRYSTAL PLASTICITY;may-15;2017;"Tallman, AE; Swiler, LP; (...); McDowell, DL";INTERNATIONAL JOURNAL FOR MULTISCALE COMPUTATIONAL ENGINEERING;9;75
670;High-pressure neutron study of the morphotropic lead-zirconate-titanate: Phase transitions in a two-phase system;jul-01;2012;"Frantti, J; Fujioka, Y; (...); Mkhalid, IA";JOURNAL OF APPLIED PHYSICS;9;38
671;Optimal taxation, critical-level utilitarianism and economic growth;Oct;2012;Spataro, L and Renstrom, TI;JOURNAL OF PUBLIC ECONOMICS;5;38
672;First-principles study of fracture toughness enhancement in transition metal nitrides;Jan15;2019;"Mei, ZG; Bhattacharya, S and Yacout, AM";SURFACE & COATINGS TECHNOLOGY;16;61
673;Review of the Design of Titanium Alloys with Low Elastic Modulus as Implant Materials;Nov;2020;Liang, SX;ADVANCED ENGINEERING MATERIALS;7;202
674;Exploring the role of high-j configurations in collective observables through the Coulomb excitation of Cd-106;may-13;2021;"Rhodes, D; Brown, BA; (...); Wu, CY";PHYSICAL REVIEW C;5;32
675;Geochemical background on the super-richening of disperse metal elements on the western margin of the Yangtze plate;may-13;2019;"Du, SJ; Wen, HJ; (...); Zhu, X";ACTA PETROLOGICA SINICA;2;66
676;Fighting Fire with Fire: Commercial Piracy and the Role of File Sharing on Copyright Protection Policy for Digital Goods;Jun;2013;Tunca, TI and Wu, Q;INFORMATION SYSTEMS RESEARCH;22;75
